index,e,n,u
364,664.320196,-674.643838,0.0
365,664.642793,-674.261977,0.0
366,664.965390,-673.880117,0.0
367,665.287990,-673.498258,0.0
368,665.287990,-673.498258,0.0
369,665.610590,-673.116400,0.0
370,665.933190,-672.734542,0.0
371,666.255790,-672.352684,0.0
372,666.578390,-671.970825,0.0
373,666.900990,-671.588967,0.0
374,667.223590,-671.207109,0.0
375,667.546190,-670.825251,0.0
376,667.868790,-670.443393,0.0
377,668.191390,-670.061534,0.0
378,668.513990,-669.679676,0.0
379,668.836590,-669.297818,0.0
380,669.159190,-668.915960,0.0
381,669.481791,-668.534102,0.0
382,669.804391,-668.152244,0.0
383,670.126991,-667.770386,0.0
384,670.449591,-667.388527,0.0
385,670.772191,-667.006669,0.0
386,671.094791,-666.624811,0.0
387,671.417391,-666.242953,0.0
388,671.739991,-665.861095,0.0
389,672.062592,-665.479237,0.0
390,672.385192,-665.097379,0.0
391,672.707792,-664.715521,0.0
392,673.030392,-664.333662,0.0
393,673.352992,-663.951804,0.0
394,673.675592,-663.569946,0.0
395,673.998192,-663.188088,0.0
396,674.320792,-662.806230,0.0
397,674.643393,-662.424372,0.0
398,674.965993,-662.042514,0.0
399,675.288593,-661.660656,0.0
400,675.611193,-661.278797,0.0
401,675.933793,-660.896939,0.0
402,676.256393,-660.515081,0.0
403,676.578993,-660.133223,0.0
404,676.901593,-659.751365,0.0
405,677.224193,-659.369507,0.0
406,677.546794,-658.987649,0.0
407,677.869394,-658.605791,0.0
408,678.191994,-658.223932,0.0
409,678.514594,-657.842074,0.0
410,678.837194,-657.460216,0.0
411,679.159794,-657.078358,0.0
412,679.482394,-656.696500,0.0
413,679.804994,-656.314642,0.0
414,680.127595,-655.932784,0.0
415,680.450195,-655.550925,0.0
416,680.772795,-655.169067,0.0
417,681.095395,-654.787209,0.0
418,681.417995,-654.405351,0.0
419,681.740595,-654.023493,0.0
420,682.063195,-653.641635,0.0
421,682.385795,-653.259777,0.0
422,682.708395,-652.877919,0.0
423,683.030996,-652.496060,0.0
424,683.353596,-652.114202,0.0
425,683.676196,-651.732344,0.0
426,683.998796,-651.350486,0.0
427,684.321396,-650.968628,0.0
428,684.643996,-650.586770,0.0
429,684.966597,-650.204912,0.0
430,685.289197,-649.823054,0.0
431,685.611797,-649.441196,0.0
432,685.810741,-649.205708,0.0
433,685.810741,-649.205708,0.0
434,686.135889,-648.826253,0.0
435,686.461037,-648.446799,0.0
436,686.783059,-648.064497,0.0
437,687.105080,-647.682195,0.0
